"","trees","specie","region","treatment","n_tree","i_L","i_U","t50_L","t50_U","delta_i","delta_t50"
"38","BP17","B","P","1","7",0.622151737038772,0.520837374336679,43.5646761410846,44.9434565870857,-0.101314362702093,1.37878044600114
"39","BP19","B","P","1","9",0.977570903457747,0.938023584713004,50.6654696310161,50.4957525444052,-0.0395473187447423,-0.169717086610866
"40","BP21","B","P","2","1",0.499155196746417,0.679994229933921,30.6762834653588,31.8314844925933,0.180839033187504,1.15520102723455
"41","BP210","B","P","2","10",0.409579390902087,0.445051277889328,33.3922054721081,32.0379111000378,0.0354718869872404,-1.35429437207031
"42","BP211","B","P","2","11",0.340528467318819,0.108210704983295,34.5322632680183,11.7008790846895,-0.232317762335524,-22.8313841833288
"43","BP212","B","P","2","12",0.298158570490436,0.235171763531395,34.4301492648052,33.543467103289,-0.062986806959041,-0.886682161516255
"44","BP22","B","P","2","2",0.300006822666735,0.251954213222214,29.0164655755877,26.0068951929309,-0.0480526094445203,-3.00957038265676
"45","BP23","B","P","2","3",0.545158260800543,0.856541333655417,35.0158209100159,36.7876156089681,0.311383072854874,1.7717946989522
"46","BP28","B","P","2","8",1.25031631242613,0.348900214137225,38.0004490139993,34.229814219722,-0.901416098288908,-3.77063479427736
"47","BP310","B","P","3","10",1.51946882353069,1.28026704438421,36.2356842024623,36.1391165819022,-0.239201779146486,-0.0965676205601369
"48","BP311","B","P","3","11",0.623310421388574,0.897001433441497,43.4402741998173,43.0187110591285,0.273691012052923,-0.421563140688832
"49","BP32","B","P","3","2",0.729935009533592,0.662974150347452,38.6919008393929,36.1950467712067,-0.06696085918614,-2.4968540681862
"50","BP33","B","P","3","3",0.761218515429974,0.880165598068935,43.8842616858401,44.5945677526393,0.118947082638961,0.710306066799191
"51","BP34","B","P","3","4",0.185469687370824,0.685325778323434,37.8662970113016,43.1643902374351,0.49985609095261,5.2980932261335
"52","BP35","B","P","3","5",0.271526320598156,0.356868034222837,30.9124653503604,31.1845109282096,0.0853417136246815,0.272045577849163
"53","BP37","B","P","3","7",0.268503603362016,1.12873962575323,34.1108427051413,36.0233195751967,0.860236022391214,1.91247687005541
"54","BP38","B","P","3","8",0.693038382656548,0.866815923376339,35.0440048328144,36.6513056619563,0.173777540719791,1.60730082914187
"55","BP39","B","P","3","9",0.33333995123011,0.742289281436055,33.412870203399,36.3101887607266,0.408949330205945,2.89731855732759
"56","OC01","O","C","0","1",0.439584922315847,0.326779922988511,26.000248025641,27.3574842024881,-0.112804999327336,1.35723617684714
"57","OC010","O","C","0","10",0.122231699571338,0.0489538475867571,18.3228465633178,11.3004140620293,-0.0732778519845812,-7.02243250128853
"58","OC011","O","C","0","11",0.383547415372662,0.397911518093419,23.034526186468,23.0247283314169,0.0143641027207571,-0.00979785505115771
"59","OC012","O","C","0","12",0.450717290325698,0.238294686907133,27.5173038661262,24.1846488092587,-0.212422603418565,-3.33265505686745
"60","OC014","O","C","0","14",0.729215645189944,0.294227962519986,21.5647690172635,27.6527728492374,-0.434987682669959,6.08800383197398
"61","OC02","O","C","0","2",0.852522105552029,0.325937669069164,18.6268181272514,19.8777725644196,-0.526584436482864,1.25095443716828
"62","OC03","O","C","0","3",0.121661407664371,0.330536544342932,13.1747262674783,31.1831177800334,0.208875136678561,18.0083915125551
"63","OC04","O","C","0","4",0.985421015623819,0.132850721921716,20.3664891387034,16.1871981884508,-0.852570293702103,-4.17929095025262
"64","OC07","O","C","0","7",0.373426354912412,0.387134565129783,23.3825508880731,21.6930236160596,0.013708210217371,-1.68952727201347
"65","OC110","O","C","1","10",0.848984078990588,0.361035351374752,22.7499015510674,25.4455117029123,-0.487948727615836,2.69561015184481
"66","OC114","O","C","1","14",0.69324556240101,0.0900970574050604,19.0047918623304,34.0391156351973,-0.603148504995949,15.0343237728669
"67","OC12","O","C","1","2",0.638026885282214,0.403019100250083,18.7212653974795,20.2083028944947,-0.235007785032131,1.4870374970152
"68","OC15","O","C","1","5",0.793835409635299,0.182994879904922,21.1240185867329,24.5040906211993,-0.610840529730377,3.38007203446642
"69","OC16","O","C","1","6",0.73375804079471,0.480859630988219,17.9856061425115,19.5302518228995,-0.25289840980649,1.54464568038802
"70","OC17","O","C","1","7",0.791584232063997,0.0383712978750481,18.4969548915874,-14.6582881371835,-0.753212934188949,-33.1552430287709
"71","OC18","O","C","1","8",0.7910772951719,0.149694354191804,20.2655871640537,28.3252164594861,-0.641382940980097,8.05962929543242
"72","OC19","O","C","1","9",0.883285656316092,0.181635118100492,25.6826528750881,22.6842742150935,-0.7016505382156,-2.99837865999458
"73","OC21","O","C","2","1",0.395003739460132,0.495325944633123,19.0266031131931,19.1910930982271,0.100322205172991,0.164489985033928
"74","OC210","O","C","2","10",0.88176933771731,0.0651119930611853,20.1783457536606,30.9802183428674,-0.816657344656125,10.8018725892069
"75","OC23","O","C","2","3",1.54920720055972,0.708225144836363,20.344301297591,17.2603389815177,-0.840982055723352,-3.08396231607331
"76","OC24","O","C","2","4",0.333879040322224,0.0458407282205371,20.9764004455909,26.9875856427536,-0.288038312101687,6.01118519716269
"77","OC25","O","C","2","5",1.45544071659719,1.08580189663364,20.3523848961194,20.3494942046382,-0.369638819963544,-0.00289069148115217
"78","OC26","O","C","2","6",0.294005614781725,0.227229069561626,34.2426781256405,29.2646089773518,-0.0667765452200984,-4.97806914828865
"79","OC28","O","C","2","8",0.0670428598459529,0.0419978439814157,24.9227568523354,21.8415184209123,-0.0250450158645372,-3.08123843142305
"80","OC314","O","C","3","14",0.710595073227128,0.421560948601415,26.3063939701335,26.9495828765676,-0.289034124625712,0.643188906434098
"81","OC32","O","C","3","2",0.647382293215852,0.98524483266095,17.9195545484717,20.1823025283046,0.337862539445098,2.2627479798329
"82","OC34","O","C","3","4",0.272030566960656,0.347358801094031,26.664037466573,32.0295697781285,0.0753282341333749,5.36553231155543
"83","OC35","O","C","3","5",0.202970723354535,0.0896270068442458,17.3190246215648,12.086517461296,-0.113343716510289,-5.23250716026879
"84","OC36","O","C","3","6",0.864953578089533,0.599916313073339,18.9096474083808,17.6503937485282,-0.265037265016194,-1.25925365985263
"85","OC37","O","C","3","7",0.560504522948655,0.507003279844035,19.7014035081488,19.7796915663344,-0.0535012431046199,0.078288058185624
